text,category,priority
road completely damaged and unsafe,Roads,High
power outage affecting entire area,Electricity,High
garbage collection irregular in our area,Sanitation,Medium
open drain needs cleaning,Sanitation,Medium
electric pole about to fall,Electricity,High
road collapsed after heavy rain,Roads,High
minor power interruption,Electricity,Low
road completely damaged and unsafe,Roads,High
road collapsed after heavy rain,Roads,High
minor power interruption,Electricity,Low
dustbin lid broken,Sanitation,Low
uneven road causing slow traffic,Roads,Medium
bin placement is inconvenient,Sanitation,Low
power outage affecting entire area,Electricity,High
road flooding during rain,Roads,Medium
major leakage wasting water,Water,High
contaminated water near school,Water,High
uneven road causing slow traffic,Roads,Medium
water supply irregular,Water,Medium
garbage bins are insufficient,Sanitation,Medium
waste scattered after rain,Sanitation,Medium
electric wire snapped causing danger,Electricity,High
water timing inconvenient,Water,Low
waste scattered after rain,Sanitation,Medium
power outage affecting entire area,Electricity,High
minor gravel on roadside,Roads,Low
minor gravel on roadside,Roads,Low
minor gravel on roadside,Roads,Low
road markings faded,Roads,Low
water pipeline burst flooding road,Water,High
slow water flow,Water,Low
old pole needs inspection,Electricity,Low
waste scattered after rain,Sanitation,Medium
speed breaker damaged,Roads,Medium
garbage bins are insufficient,Sanitation,Medium
no water supply for three days,Water,High
dustbin lid broken,Sanitation,Low
electric pole tilted slightly,Electricity,Medium
water tank overflow,Water,Medium
dustbin lid broken,Sanitation,Low
electric pole about to fall,Electricity,High
footpath partially broken,Roads,Medium
dirty water supply causing illness,Water,High
transformer sparking near houses,Electricity,High
water timing inconvenient,Water,Low
uneven road causing slow traffic,Roads,Medium
electric wire snapped causing danger,Electricity,High
old pole needs inspection,Electricity,Low
bridge surface broken posing danger,Roads,High
no water supply for three days,Water,High
minor leakage at tap,Water,Low
bridge surface broken posing danger,Roads,High
street light covered by tree branches,Electricity,Low
water pipeline burst flooding road,Water,High
public tap not working,Water,Medium
street lights blinking,Electricity,Medium
waste scattered after rain,Sanitation,Medium
dirty water supply causing illness,Water,High
public toilet needs cleaning,Sanitation,Low
minor smell near garbage area,Sanitation,Low
street lights blinking,Electricity,Medium
footpath partially broken,Roads,Medium
street light covered by tree branches,Electricity,Low
potholes forming on internal road,Roads,Medium
water pipeline burst flooding road,Water,High
dustbin lid broken,Sanitation,Low
frequent power cuts at night,Electricity,Medium
open drainage spreading foul smell,Sanitation,High
public tap not working,Water,Medium
garbage collection irregular in our area,Sanitation,Medium
water pipeline burst flooding road,Water,High
large pothole causing accidents near bus stand,Roads,High
open drain needs cleaning,Sanitation,Medium
road markings faded,Roads,Low
minor leakage at tap,Water,Low
small cracks on road surface,Roads,Low
water timing inconvenient,Water,Low
dirty water supply causing illness,Water,High
footpath partially broken,Roads,Medium
water meter needs replacement,Water,Low
garbage collection irregular in our area,Sanitation,Medium
minor leakage at tap,Water,Low
electric pole about to fall,Electricity,High
slow water flow,Water,Low
transformer sparking near houses,Electricity,High
water timing inconvenient,Water,Low
public toilet needs cleaning,Sanitation,Low
power outage affecting entire area,Electricity,High
dustbin lid broken,Sanitation,Low
potholes forming on internal road,Roads,Medium
potholes forming on internal road,Roads,Medium
footpath partially broken,Roads,Medium
water pipeline burst flooding road,Water,High
minor gravel on roadside,Roads,Low
signboard needs repainting,Roads,Low
open pit on road without barricade,Roads,High
street light covered by tree branches,Electricity,Low
power outage affecting entire area,Electricity,High
road completely damaged and unsafe,Roads,High
street light not working,Electricity,Medium
water pipeline burst flooding road,Water,High
garbage not collected for a week attracting mosquitoes,Sanitation,High
potholes forming on internal road,Roads,Medium
road flooding during rain,Roads,Medium
old pole needs inspection,Electricity,Low
old pole needs inspection,Electricity,Low
minor gravel on roadside,Roads,Low
bin placement is inconvenient,Sanitation,Low
electric pole tilted slightly,Electricity,Medium
dirty water supply causing illness,Water,High
electric wire snapped causing danger,Electricity,High
small cracks on road surface,Roads,Low
voltage fluctuation issue,Electricity,Medium
road markings faded,Roads,Low
garbage not collected for a week attracting mosquitoes,Sanitation,High
water tank overflow,Water,Medium
water supply irregular,Water,Medium
waste scattered after rain,Sanitation,Medium
bridge surface broken posing danger,Roads,High
voltage fluctuation issue,Electricity,Medium
tap handle broken,Water,Low
minor power interruption,Electricity,Low
slow water flow,Water,Low
water tank overflow,Water,Medium
large pothole causing accidents near bus stand,Roads,High
water timing inconvenient,Water,Low
slow water flow,Water,Low
open pit on road without barricade,Roads,High
voltage fluctuation issue,Electricity,Medium
minor gravel on roadside,Roads,Low
street light dim,Electricity,Low
power outage affecting entire area,Electricity,High
street light not working,Electricity,Medium
open drain needs cleaning,Sanitation,Medium
pipeline leakage near street,Water,Medium
slow water flow,Water,Low
slow water flow,Water,Low
electric box needs maintenance,Electricity,Low
old pole needs inspection,Electricity,Low
road flooding during rain,Roads,Medium
electric wire snapped causing danger,Electricity,High
garbage truck comes late,Sanitation,Low
minor leakage at tap,Water,Low
low water pressure in mornings,Water,Medium
dust on road,Roads,Low
water meter needs replacement,Water,Low
no water supply for three days,Water,High
road collapsed after heavy rain,Roads,High
major leakage wasting water,Water,High
slow water flow,Water,Low
large pothole causing accidents near bus stand,Roads,High
road completely damaged and unsafe,Roads,High
garbage bins are insufficient,Sanitation,Medium
small cracks on road surface,Roads,Low
road flooding during rain,Roads,Medium
speed breaker damaged,Roads,Medium
minor smell near garbage area,Sanitation,Low
old pole needs inspection,Electricity,Low
waste scattered after rain,Sanitation,Medium
electric box needs maintenance,Electricity,Low
minor leakage at tap,Water,Low
old pole needs inspection,Electricity,Low
water supply irregular,Water,Medium
small cracks on road surface,Roads,Low
water supply irregular,Water,Medium
transformer sparking near houses,Electricity,High
sewage overflow near houses causing health risk,Sanitation,High
water tank overflow,Water,Medium
sewage overflow near houses causing health risk,Sanitation,High
large pothole causing accidents near bus stand,Roads,High
public toilet needs cleaning,Sanitation,Low
minor leakage at tap,Water,Low
water pipeline burst flooding road,Water,High
footpath partially broken,Roads,Medium
minor smell near garbage area,Sanitation,Low
street light dim,Electricity,Low
road completely damaged and unsafe,Roads,High
street lights blinking,Electricity,Medium
small cracks on road surface,Roads,Low
garbage collection irregular in our area,Sanitation,Medium
footpath partially broken,Roads,Medium
water supply irregular,Water,Medium
open pit on road without barricade,Roads,High
garbage collection irregular in our area,Sanitation,Medium
public tap not working,Water,Medium
major leakage wasting water,Water,High
dust on road,Roads,Low
voltage fluctuation issue,Electricity,Medium
footpath partially broken,Roads,Medium
water timing inconvenient,Water,Low
power outage affecting entire area,Electricity,High
public toilet needs cleaning,Sanitation,Low
water meter needs replacement,Water,Low
open drain needs cleaning,Sanitation,Medium
manhole overflow near school causing danger,Sanitation,High
electric pole about to fall,Electricity,High
water tank overflow,Water,Medium
open drainage spreading foul smell,Sanitation,High
water timing inconvenient,Water,Low
old pole needs inspection,Electricity,Low
speed breaker damaged,Roads,Medium
frequent power cuts at night,Electricity,Medium
low water pressure in mornings,Water,Medium
signboard needs repainting,Roads,Low
electric pole tilted slightly,Electricity,Medium
sewage overflow near houses causing health risk,Sanitation,High
minor gravel on roadside,Roads,Low
uneven road causing slow traffic,Roads,Medium
pipeline leakage near street,Water,Medium
garbage truck comes late,Sanitation,Low
public toilet needs cleaning,Sanitation,Low
road completely damaged and unsafe,Roads,High
bad smell from waste collection point,Sanitation,Medium
water pipeline burst flooding road,Water,High
major leakage wasting water,Water,High
electric wire snapped causing danger,Electricity,High
waste scattered after rain,Sanitation,Medium
potholes forming on internal road,Roads,Medium
minor smell near garbage area,Sanitation,Low
small cracks on road surface,Roads,Low
garbage bins are insufficient,Sanitation,Medium
garbage collection irregular in our area,Sanitation,Medium
minor gravel on roadside,Roads,Low
small cracks on road surface,Roads,Low
bin placement is inconvenient,Sanitation,Low
contaminated water near school,Water,High
minor power interruption,Electricity,Low
garbage collection irregular in our area,Sanitation,Medium
potholes forming on internal road,Roads,Medium
road collapsed after heavy rain,Roads,High
open drainage spreading foul smell,Sanitation,High
road flooding during rain,Roads,Medium
street lights blinking,Electricity,Medium
water tank overflow,Water,Medium
water pipeline burst flooding road,Water,High
small cracks on road surface,Roads,Low
sewage overflow near houses causing health risk,Sanitation,High
water supply irregular,Water,Medium
electric pole about to fall,Electricity,High
road collapsed after heavy rain,Roads,High
public toilet needs cleaning,Sanitation,Low
sewage overflow near houses causing health risk,Sanitation,High
bad smell from waste collection point,Sanitation,Medium
tap handle broken,Water,Low
speed breaker damaged,Roads,Medium
slow water flow,Water,Low
road markings faded,Roads,Low
